id,x,y,z,qx,qy,qz,qw
1213,-65.5843,199.766,-1.48599,-0.0132123,0.0178839,-0.27721,0.960552
1214,-62.2343,197.528,-1.58947,-0.012052,0.0182441,-0.277555,0.960461
1215,-58.532,195.094,-1.69605,-0.0091277,0.0236981,-0.276732,0.960611
1216,-55.0458,192.81,-1.79773,-0.0103836,0.025716,-0.272519,0.961751
1217,-51.6489,190.616,-1.91894,-0.00963271,0.0210896,-0.269746,0.962652
1218,-48.1332,188.392,-2.06228,-0.0138987,0.0180442,-0.268233,0.963085
1219,-44.7201,186.195,-2.16495,-0.0111599,0.0240077,-0.282453,0.958916
1220,-41.4175,183.713,-2.27923,-0.0166377,0.00344383,-0.356857,0.934005
1221,-38.8046,180.415,-2.22636,-0.0154717,0.00272908,-0.509487,0.860335
1222,-37.572,176.616,-2.15971,-0.0167844,-0.00196624,-0.655188,0.755277
1223,-37.7914,172.548,-2.03465,-0.00835324,-0.00546086,-0.774135,0.632943
1224,-39.2266,168.462,-1.95811,-0.00957362,-0.00567605,-0.839379,0.543432
1225,-41.1497,164.837,-1.85579,-0.00917008,-0.00567562,-0.857073,0.515082
1226,-43.3083,161.043,-1.73887,-0.00918188,-0.0051574,-0.863703,0.503892
1227,-45.482,157.697,-1.63427,0.00972174,0.00742441,0.889635,-0.456509
1228,-48.2708,154.656,-1.52849,-0.00314411,0.0023607,0.93901,-0.343868
1229,-51.6447,152.599,-1.53489,-0.00546794,-0.000928037,0.980232,-0.197776
1230,-55.8101,151.7,-1.55993,-0.00390473,-0.000697824,0.999774,-0.0208718
1231,-59.8725,152.222,-1.57921,0.0011941,0.00211394,0.992127,0.125218
1232,-63.7805,153.779,-1.64622,-0.0185229,0.00758047,0.974251,0.224578
1233,-67.3148,155.781,-1.79521,-0.0192032,0.00308927,0.965215,0.260734
1234,-70.7935,158.005,-1.93256,-0.0137834,0.00423167,0.96091,0.276486
1235,-74.3989,160.413,-2.0237,-0.0056129,0.00164944,0.959423,0.281909
1236,-77.9809,162.835,-2.09584,-0.00790889,0.00477506,0.959264,0.282359
1237,-81.6147,165.297,-2.17202,-0.0120398,0.00789609,0.95953,0.281238
1238,-85.2505,167.719,-2.25844,-0.0217672,0.0102295,0.959953,0.279129
1239,-88.5844,169.931,-2.42088,-0.0191854,0.00707222,0.960576,0.277267
1240,-92.2495,172.331,-2.60745,-0.0187178,0.00339173,0.961495,0.274164
1241,-95.9336,174.706,-2.77332,-0.0215529,0.00414892,0.962331,0.270993
1242,-99.547,177.015,-2.92611,-0.020128,0.00393597,0.962858,0.26923
1243,-103.261,179.395,-3.05693,-0.0170981,0.00434851,0.961662,0.273666
1244,-106.774,181.723,-3.17837,-0.0105556,0.00207557,0.958988,0.283243
1245,-110.193,184.132,-3.2698,-0.00915957,0.00334598,0.951737,0.306759
1246,-113.455,186.828,-3.3657,-0.032781,0.00529834,0.926068,0.375894
1247,-115.909,190.058,-3.59264,-0.033247,0.00156431,0.859284,0.510416
1248,-117.108,194.206,-3.79355,-0.0254653,-0.00413306,0.735676,0.676842
1249,-116.616,198.265,-3.89295,-0.0284284,-0.00308129,0.59788,0.801076
1250,-114.847,202.061,-4.00796,-0.0288627,-0.000108692,0.505355,0.862428
1251,-112.649,205.438,-4.10635,-0.0302829,0.00193301,0.475842,0.879007
1252,-110.284,208.84,-4.21022,-0.027659,0.00078681,0.473665,0.88027
1253,-107.867,212.336,-4.30761,-0.0267934,0.00092281,0.475071,0.879539
1254,-105.542,215.723,-4.39749,-0.0254233,0.000463674,0.477598,0.878211
1255,-103.293,219.049,-4.48143,-0.0274257,0.00136755,0.479587,0.877064
1256,-101.081,222.351,-4.56357,-0.0269414,0.000559155,0.482177,0.875659
